0.6197,661.898,584.574,0.1934,709.697,64.7264,69.8914,661.28
0.6542,661.574,582.439,5.0093,710.874,66.5491,70.6725,664.72
0.6424,660.284,580.281,9.9186,712.075,64.6066,72.4677,657.5
0.6908,659.738,578.181,16.132,713.3,68.2028,75.4276,664.56
0.699,661.772,575.875,26.16,651.55,67.457,79.7127,661.43
0.7135,668.506,573.58,40.876,648.752,67.0513,84.4939,659.66
0.7305,675.644,571.317,55.3226,638.244,66.749,88.4645,658.27
0.74,682.558,569.135,69.7466,626.025,66.02,91.2561,654.77
0.8469,691.528,566.83,85.8787,611.818,74.6915,93.1472,674.73
0.9776,676.938,564.11,80.0507,595.297,85.31,92.418,695.1
1.0631,654.71,561.123,68.16,580.264,85.4484,87.9368,695.35
1.1805,632.476,558.195,56.1993,566.627,85.2249,80.3195,692.84
1.4675,608.254,555.179,41.296,551.474,88.6402,70.9885,699.62
1.1855,579.552,551.888,22.0386,546.881,75.4652,58.6694,601.78
1.0721,568.126,550.714,13.4933,544.152,69.4784,46.4018,583.96
1.2117,559.674,550.091,6.4127,541.249,69.6733,36.9797,584.18
1.1093,552.844,549.431,1.216,539.934,64.4299,30.5108,571.73
0.7202,547.622,548.972,-3.0587,539.54,55.4582,24.6265,556.11
0.3198,545.868,549.077,-4.8173,559.542,46.2163,22.7301,544.65
0.1953,545.598,549.472,-5.2173,560.375,43.4096,23.7316,541.7
0.4999,545.266,549.96,-5.7607,561.243,50.2909,27.201,550.03
0.3528,543.51,550.433,-7.048,562.148,46.0898,34.3944,545.62
0.4069,544.998,550.669,-5.6833,563.089,47.545,45.6749,547.34
0.2515,547.12,550.706,-3.7413,564.071,43.6655,57.4727,543.3
0.1052,550.174,550.699,-1.3073,565.093,40.3605,68.3062,540.04
0.0985,554.844,550.789,3.2213,565.6,41.1934,75.445,541.25
0.5528,558.53,550.618,6.7587,545.673,50.6709,76.6015,553.06
0.7687,559.422,550.428,7.886,544.401,55.5881,72.6939,557.95
0.8096,559.068,550.089,7.9493,543.048,56.2305,65.1191,558.57
1.0401,556.674,549.714,5.774,541.609,61.3488,55.6733,563.39
0.9715,552.97,549.419,2.6993,540.078,58.6593,48.8418,559.68
0.9072,549.634,549.196,0.0613,539.335,57.0433,44.4981,557.52
0.8411,547.624,549.006,-1.1354,538.97,56.0537,43.0634,556.18
0.3222,546.396,548.859,-2.23,556.492,48.1197,44.3894,546.6
0.2127,547.596,548.824,-1.54,556.85,46.5,47.5933,544.87
0.092,547.054,548.806,-2.2367,557.214,44.7694,50.3018,543
0.3353,547.15,548.772,-2.9087,557.587,48.2326,55.0626,547.47
0.4888,547.562,548.812,-3.1193,557.967,50.3103,60.4073,550.04
0.6569,547.892,548.906,-2.954,558.354,52.3981,64.5939,552.6
0.1685,548.43,549.076,-2.1947,558.75,43.5228,68.3536,542.16
0.2135,550.788,549.384,-0.1373,542.839,44.4969,70.5416,543.48
0.5041,551.934,549.787,0.808,541.824,49.1814,69.0646,549.53
0.629,551.092,550.137,-0.012,540.744,50.9599,65.8164,551.69
0.8002,551.59,550.654,1.2994,539.594,53.9811,62.8507,555.29
0.7752,551.382,550.855,2.1954,538.371,53.0184,58.1312,553.95
0.5718,550.03,551.075,1.388,537.554,49.5519,52.9373,549.21
0.3971,551.092,551.365,2.4673,536.702,46.5463,48.7649,545.32
0.7776,553.39,551.781,4.984,535.814,53.2568,44.1935,554.18
0.7401,553.056,551.85,5.9233,534.89,53.3132,39.3527,554.25
0.4463,552.062,551.998,5.6763,533.927,48.1742,35.2703,547.19
0.651,551.958,552.114,5.1957,532.924,53.8934,31.923,554.52
0.6619,550.352,552.247,3.8137,532.42,55.8157,29.2684,556.81
0.5485,548.83,552.224,2.8277,558.781,52.8856,27.943,552.51
0.4685,546.226,552.371,-0.3683,560.463,50.6006,26.5194,549.28
0.41,544.116,552.868,-3.4844,562.253,48.735,25.5643,546.67
0.4086,543.938,553.392,-4.959,564.158,48.6107,25.5128,546.49
